,player_id,firstName,lastName,nationality,birthCity,primaryPosition,birthDate,link,name,headlines
0,8467412,Alexei,Ponikarovsky,UKR,Kiev,LW,1980-04-09,test,Alexei Ponikarovsky,2
1,8468501,Anton,Volchenkov,RUS,Moscow,D,1982-02-25,/api/v1/people/8468501,Anton Volchenkov,2
2,8459670,Kimmo,Timonen,FIN,Kuopio,D,1975-03-18,/api/v1/people/8459670,Kimmo Timonen,2
3,8471233,Travis,Zajac,CAN,Winnipeg,C,1985-05-13,/api/v1/people/8471233,Travis Zajac,10
4,8455710,Martin,Brodeur,CAN,Montreal,G,1972-05-06,/api/v1/people/8455710,Martin Brodeur,4
5,8475640,Erik,Gustafsson,SWE,Kvissleby,D,1988-12-15,/api/v1/people/8475640,Erik Gustafsson,4
6,8476177,Matt,Read,CAN,Ilderton,RW,1986-06-14,/api/v1/people/8476177,Matt Read,4
7,8464977,Dainius,Zubrus,LTU,Elektrenai,C,1978-06-16,/api/v1/people/8464977,Dainius Zubrus,2
8,8474190,Wayne,Simmonds,CAN,Scarborough,RW,1988-08-26,/api/v1/people/8474190,Wayne Simmonds,6
9,8464975,Daniel,Briere,CAN,Gatineau,C,1977-10-06,/api/v1/people/8464975,Daniel Briere,2
10,8468534,Andreas,Lilja,SWE,Helsingborg,D,1975-07-13,/api/v1/people/8468534,Andreas Lilja,2
11,8475603,Ben,Holmstrom,USA,Colorado Springs,C,1987-04-09,/api/v1/people/8475603,Ben Holmstrom,2
12,8472410,Stephen,Gionta,USA,Rochester,RW,1983-10-09,/api/v1/people/8472410,Stephen Gionta,4
13,8474037,James,van Riemsdyk,USA,Middletown,LW,1989-05-04,/api/v1/people/8474037,James van Riemsdyk,4
14,8473542,Tom,Sestito,USA,Rome,LW,1987-09-28,/api/v1/people/8473542,Tom Sestito,2
15,8476457,Adam,Larsson,SWE,Skellefteå,D,1992-11-12,/api/v1/people/8476457,Adam Larsson,4
16,8474631,Marc-Andre,Bourdon,CAN,St-Hyacinthe,D,1989-09-17,/api/v1/people/8474631,Marc-Andre Bourdon,2
17,8472382,Andy,Greene,USA,Trenton,D,1982-10-30,/api/v1/people/8472382,Andy Greene,2
18,8474641,Adam,Henrique,CAN,Brantford,C,1990-02-06,/api/v1/people/8474641,Adam Henrique,6
19,8474161,Jakub,Voracek,CZE,Kladno,RW,1989-08-15,/api/v1/people/8474161,Jakub Voracek,12
20,8475972,Tyler,Brown,CAN,Wasaga Beach,LW,1990-02-07,/api/v1/people/8475972,Tyler Brown,18
21,8476461,Sean,Couturier,CAN,Phoenix,C,1992-12-07,/api/v1/people/8476461,Sean Couturier,10
22,8460720,Eric,Boulton,CAN,Halifax,LW,1976-08-17,/api/v1/people/8460720,Eric Boulton,2
23,8469454,Ilya,Kovalchuk,RUS,Tver,LW,1983-04-15,/api/v1/people/8469454,Ilya Kovalchuk,6
24,8475170,Brayden,Schenn,CAN,Saskatoon,C,1991-08-22,/api/v1/people/8475170,Brayden Schenn,8
25,8468524,Ilya,Bryzgalov,RUS,Togliatti,G,1980-06-22,/api/v1/people/8468524,Ilya Bryzgalov,2
26,8470609,Steve,Bernier,CAN,Quebec City,RW,1985-03-31,/api/v1/people/8470609,Steve Bernier,8
27,8465210,Pavel,Kubina,CZE,Celadna,D,1977-04-15,/api/v1/people/8465210,Pavel Kubina,2
